,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
170,Joshīmath,30.5667,79.5667,70.63,68,33,4.81,IN,2021-06-16 01:35:28
171,Alta Floresta,-9.8756,-56.0861,75.67,57,67,3.15,BR,2021-06-16 01:35:29
172,Calama,-22.4667,-68.9333,50.49,23,75,6.91,CL,2021-06-16 01:35:31
173,Bhadrak,21.0633,86.5054,81.34,75,100,8.34,IN,2021-06-16 01:35:32
174,Eilat,29.5581,34.9482,73.72,52,0,6.96,IL,2021-06-16 01:35:33
175,Burnie,-41.0667,145.9167,55.92,82,100,13.53,AU,2021-06-16 01:35:34
176,Along,28.1667,94.7667,79.56,93,97,1.74,IN,2021-06-16 01:35:35
177,Dilla,6.41,38.31,59.95,93,98,4.36,ET,2021-06-16 01:35:37
178,Karratha,-20.7377,116.8463,70.41,33,100,22.24,AU,2021-06-16 01:35:38
179,Kūhdasht,33.535,47.6061,71.47,22,0,4.9,IR,2021-06-16 01:35:39
180,Makakilo City,21.3469,-158.0858,82.02,56,40,8.05,US,2021-06-16 01:35:40
181,Vao,-22.6667,167.4833,73.02,81,37,7.72,NC,2021-06-16 01:35:41
182,Iglesias,39.3114,8.535,68.29,74,0,3.44,IT,2021-06-16 01:35:42
183,Bengkulu,-3.8004,102.2655,77.18,88,96,5.06,ID,2021-06-16 01:32:20
184,Port Hawkesbury,45.6169,-61.3485,54.7,90,90,10.0,CA,2021-06-16 01:35:44
185,Uribia,11.7139,-72.266,82.17,69,100,15.35,CO,2021-06-16 01:35:45
186,Lebu,-37.6167,-73.65,49.37,72,80,5.5,CL,2021-06-16 01:35:47
187,Antalaha,-14.9003,50.2788,68.58,89,28,8.12,MG,2021-06-16 01:35:48
188,Port Alfred,-33.5906,26.891,65.35,54,99,9.98,ZA,2021-06-16 01:35:49
189,Khovd,48.0056,91.6419,59.02,32,1,2.86,MN,2021-06-16 01:35:50
190,Coquimbo,-29.9533,-71.3436,58.73,72,90,6.91,CL,2021-06-16 01:35:52
191,Brantford,43.1334,-80.2664,61.95,56,6,10.92,CA,2021-06-16 01:34:42
192,Castro,-24.7911,-50.0119,49.75,76,67,0.94,BR,2021-06-16 01:35:54
193,Margate,51.3813,1.3862,57.83,83,28,8.7,GB,2021-06-16 01:35:55
194,Pacifica,37.6138,-122.4869,68.7,63,1,5.01,US,2021-06-16 01:35:56
195,Port-Gentil,-0.7193,8.7815,77.9,79,78,10.47,GA,2021-06-16 01:35:57
196,Asău,46.4333,26.4,62.94,85,29,6.98,RO,2021-06-16 01:35:58
197,Coyhaique,-45.5752,-72.0662,31.68,82,100,3.04,CL,2021-06-16 01:36:00
198,Laja,-37.2667,-72.7,52.59,75,100,2.44,CL,2021-06-16 01:36:01
199,Port Moresby,-9.4431,147.1797,82.44,72,58,4.94,PG,2021-06-16 01:36:02
200,Rexburg,43.826,-111.7897,89.31,19,1,9.22,US,2021-06-16 01:36:03
201,Korampallam,8.7667,78.1,80.89,74,40,3.44,IN,2021-06-16 01:36:04
202,Acuitzio,20.345,-101.9771,74.89,33,100,14.27,MX,2021-06-16 01:36:05
203,Albion,42.2431,-84.753,67.73,42,1,0.0,US,2021-06-16 01:36:07
204,Santa Cruz de la Sierra,-17.8,-63.1667,71.06,68,75,10.36,BO,2021-06-16 01:36:08
205,Honiara,-9.4333,159.95,85.95,68,26,7.14,SB,2021-06-16 01:36:09
206,Garoowe,8.4054,48.4845,74.57,68,100,23.29,SO,2021-06-16 01:36:10
207,Beloha,-25.1667,45.05,61.63,88,13,7.63,MG,2021-06-16 01:36:11
208,Aswān,24.0934,32.907,79.16,24,0,10.49,EG,2021-06-16 01:36:12
209,Mauá,-23.6678,-46.4614,54.28,96,28,3.91,BR,2021-06-16 01:36:14
210,Vaitape,-16.5167,-151.75,79.77,78,26,20.0,PF,2021-06-16 01:36:15
211,Uthal,25.8072,66.6219,83.39,80,41,3.27,PK,2021-06-16 01:36:16
212,Tiznit Province,29.5833,-9.5,60.57,82,89,3.27,MA,2021-06-16 01:36:17
213,Sawākin,19.1059,37.3321,82.98,60,36,2.53,SD,2021-06-16 01:36:18
214,Mar del Plata,-38.0023,-57.5575,47.89,65,75,8.01,AR,2021-06-16 01:36:19
215,Moroni,-11.7022,43.2551,73.74,78,71,6.53,KM,2021-06-16 01:36:21
216,Kununurra,-15.7667,128.7333,82.38,36,4,8.05,AU,2021-06-16 01:36:22
217,Bodden Town,19.2833,-81.25,82.9,58,20,4.0,KY,2021-06-16 01:36:23
218,Meulaboh,4.1363,96.1285,81.55,74,100,0.81,ID,2021-06-16 01:36:24
219,Rangia,26.4667,91.6333,78.75,88,100,4.34,IN,2021-06-16 01:36:25
220,Tayu,-6.5397,111.0518,82.56,76,93,5.03,ID,2021-06-16 01:36:26
221,North Bend,43.4065,-124.2243,62.56,77,1,9.22,US,2021-06-16 01:36:27
222,Natchitoches,31.7668,-93.1335,86.47,55,1,0.0,US,2021-06-16 01:36:29
223,Grants,35.1473,-107.8514,88.03,11,1,12.66,US,2021-06-16 01:36:30
224,Bria,6.5423,21.9863,69.31,95,100,3.47,CF,2021-06-16 01:36:31
