Unnamed: 0,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
122,Makkah al Mukarramah,21.4267,39.8261,86.81,43,39,4.5,SA,2021-06-16 22:11:44
123,Vila Velha,-20.3297,-40.2925,69.94,84,0,1.01,BR,2021-06-16 22:14:55
124,Pilar,-9.5972,-35.9567,76.93,91,17,4.79,BR,2021-06-16 22:14:55
125,Maungaturoto,-36.1,174.3667,59.63,82,13,6.26,NZ,2021-06-16 22:14:56
126,RibeirÃ£o Branco,-24.2208,-48.7656,52.77,93,93,6.38,BR,2021-06-16 22:14:56
127,AbhÄ,18.2164,42.5053,66.45,45,0,0.0,SA,2021-06-16 22:14:56
128,Bartica,6.4,-58.6167,80.92,94,72,3.18,GY,2021-06-16 22:14:57
129,Teberda,43.4456,41.7448,59.7,87,0,8.99,RU,2021-06-16 22:14:57
130,Pacific Grove,36.6177,-121.9166,72.66,66,1,4.0,US,2021-06-16 22:14:58
131,Dajal,29.5577,70.3762,88.75,44,91,7.99,PK,2021-06-16 22:14:58
132,Anloga,5.7947,0.8973,79.81,79,99,20.78,GH,2021-06-16 22:14:59
133,Chatham,51.3789,0.5279,66.76,92,82,1.01,GB,2021-06-16 22:11:38
134,Kahului,20.8947,-156.47,84.07,66,20,18.41,US,2021-06-16 22:10:29
135,Cairns,-16.9167,145.7667,72.73,97,18,0.0,AU,2021-06-16 22:15:00
136,Souillac,-20.5167,57.5167,73.78,78,75,13.8,MU,2021-06-16 22:15:00
137,Yulara,-25.2406,130.9889,46.24,57,100,5.75,AU,2021-06-16 22:15:01
138,Cabo San Lucas,22.8909,-109.9124,93.51,40,1,14.97,MX,2021-06-16 22:15:01
139,Salalah,17.0151,54.0924,82.49,89,75,4.61,OM,2021-06-16 22:15:01
140,LÃ¡zaro CÃ¡rdenas,17.9583,-102.2,84.47,73,100,7.05,MX,2021-06-16 22:15:04
141,Coquimbo,-29.9533,-71.3436,58.73,77,0,8.05,CL,2021-06-16 22:15:05
142,Vila Franca do Campo,37.7167,-25.4333,68.41,92,98,4.41,PT,2021-06-16 22:15:05
143,Tessalit,20.1986,1.0114,95.09,9,0,15.37,ML,2021-06-16 22:15:06
144,Jinchang,38.4953,102.1739,55.92,60,79,4.85,CN,2021-06-16 22:15:06
145,Bathsheba,13.2167,-59.5167,81.21,69,20,14.97,BB,2021-06-16 22:15:06
146,Knysna,-34.0363,23.0471,55.78,80,0,3.94,ZA,2021-06-16 22:15:07
147,Soe,-9.8607,124.28399999999999,58.62,85,4,4.36,ID,2021-06-16 22:15:07
148,InÃ­rida,3.8653,-67.9239,77.61,91,80,2.24,CO,2021-06-16 22:15:08
149,Avanigadda,16.0215,80.9181,86.63,56,100,13.8,IN,2021-06-16 22:15:08
150,Kruisfontein,-34.0033,24.7314,52.88,84,2,6.55,ZA,2021-06-16 22:15:09
151,Tabou,4.423,-7.3528,78.3,81,95,7.94,CI,2021-06-16 22:15:09
152,Mogadishu,2.0371,45.3438,77.81,81,72,17.18,SO,2021-06-16 22:15:09
153,Marinhas,41.5591,-8.783,67.62,97,94,3.62,PT,2021-06-16 22:15:10
154,MahÃ©bourg,-20.4081,57.7,73.69,78,75,13.8,MU,2021-06-16 22:15:10
155,Pathein,16.7833,94.7333,75.34,97,100,4.81,MM,2021-06-16 22:15:11
156,Arraial do Cabo,-22.9661,-42.0278,70.81,74,8,18.99,BR,2021-06-16 22:15:11
157,Marabba,12.35,32.1833,86.52,51,100,8.1,SD,2021-06-16 22:15:11
158,Beloha,-25.1667,45.05,62.26,80,18,8.37,MG,2021-06-16 22:15:12
159,Geraldton,-28.7667,114.6,48.61,93,0,3.44,AU,2021-06-16 22:15:12
160,Poso,-1.3959,120.7524,76.33,81,13,4.9,ID,2021-06-16 22:15:13
161,Manjacaze,-24.7117,33.8828,60.75,93,25,7.36,MZ,2021-06-16 22:15:13
162,Ashland,40.8167,-82.2665,69.69,53,40,6.35,US,2021-06-16 22:15:13
163,Mazatlan,25.2,-99.8167,89.56,30,48,12.97,MX,2021-06-16 22:15:14
164,Kidal,18.4411,1.4078,94.59,9,0,11.03,ML,2021-06-16 22:15:14
165,Malakal,9.5334,31.6605,76.73,83,100,4.27,SS,2021-06-16 22:15:15
166,Port-Gentil,-0.7193,8.7815,77.9,82,83,14.36,GA,2021-06-16 22:15:15
167,Kibre Mengist,5.8833,38.9833,59.04,89,100,1.32,ET,2021-06-16 22:15:15
168,Cabra,37.4725,-4.4421,67.41,64,100,1.01,ES,2021-06-16 22:15:16
169,Lompoc,34.6391,-120.4579,88.23,41,1,13.8,US,2021-06-16 22:12:46
170,San Cristobal,7.7669,-72.225,75.38,58,24,4.79,VE,2021-06-16 22:15:16
171,Araouane,18.9048,-3.5265,97.38,12,4,4.76,ML,2021-06-16 22:15:17
172,Rancho Mirage,33.7397,-116.4128,108.21,17,1,1.99,US,2021-06-16 22:11:05
173,Gisborne,-38.6533,178.0042,59.95,66,3,9.53,NZ,2021-06-16 22:15:17
174,Touros,-5.1989,-35.4608,79.7,80,2,14.97,BR,2021-06-16 22:15:18
175,Puerto Cabello,10.4731,-68.0125,79.34,84,76,10.16,VE,2021-06-16 22:15:18
176,Santa Marta,11.2408,-74.199,88.34,78,51,12.86,CO,2021-06-16 22:11:48
177,Yamethin,20.4333,96.15,74.61,92,100,8.46,MM,2021-06-16 22:15:19
178,Guerrero Negro,27.9769,-114.0611,80.11,49,22,14.65,MX,2021-06-16 22:15:19
179,Laas,46.6166,10.7002,70.47,90,22,2.91,IT,2021-06-16 22:15:20
180,KhÄsh,28.2211,61.2158,72.84,9,0,6.35,IR,2021-06-16 22:15:20
181,Ribas do Rio Pardo,-20.4431,-53.7592,67.53,58,59,7.96,BR,2021-06-16 22:15:21
182,Odesa,46.4775,30.7326,62.53,100,0,2.24,UA,2021-06-16 22:15:21
183,Marsh Harbour,26.5412,-77.0636,81.73,71,100,7.94,BS,2021-06-16 22:15:22
184,Lorengau,-2.0226,147.2712,82.24,75,97,4.74,PG,2021-06-16 22:15:22
185,Muros,42.7762,-9.0603,65.57,87,94,5.7,ES,2021-06-16 22:15:22
186,Bubaque,11.2833,-15.8333,80.87,83,100,14.83,GW,2021-06-16 22:15:23
187,Hithadhoo,-0.6,73.0833,83.46,74,67,8.46,MV,2021-06-16 22:15:23
188,Olinda,-8.0089,-34.8553,74.93,83,20,9.22,BR,2021-06-16 22:15:17
189,Hamilton,39.1834,-84.5333,78.46,37,1,1.01,US,2021-06-16 22:15:04
190,Saint Paul Harbor,57.79,-152.4072,47.71,87,90,5.75,US,2021-06-16 22:14:51
191,Hualmay,-11.0964,-77.6139,69.33,76,55,12.53,PE,2021-06-16 22:15:24
192,Castro,-24.7911,-50.0119,49.93,92,53,4.41,BR,2021-06-16 22:13:44
193,AsÄu,46.4333,26.4,61.57,91,89,6.76,RO,2021-06-16 22:15:25
194,Carupano,10.6678,-63.2585,78.62,87,100,7.63,VE,2021-06-16 22:15:25
195,Naze,28.3667,129.4833,76.12,86,96,10.33,JP,2021-06-16 22:15:25
196,Gijang,35.2442,129.2139,69.53,87,100,14.25,KR,2021-06-16 22:15:26
197,Ambon City,-3.6954,128.1814,75.34,94,75,2.3,ID,2021-06-16 22:15:26
198,Sabang,5.8933,95.3214,83.25,70,100,15.9,ID,2021-06-16 22:15:27
199,Yumen,40.2833,97.2,58.87,29,22,7.2,CN,2021-06-16 22:15:27
200,Karratha,-20.7377,116.8463,64.53,36,99,15.93,AU,2021-06-16 22:15:28
201,Oussouye,12.485,-16.5469,82.49,76,87,9.71,SN,2021-06-16 22:15:28
202,Linxia Chengguanzhen,35.6003,103.2064,50.14,77,100,2.46,CN,2021-06-16 22:15:28
203,Khorramshahr,30.4397,48.1664,89.56,22,0,16.11,IR,2021-06-16 22:15:29
204,Terre Haute,39.4667,-87.4139,82.99,39,4,7.65,US,2021-06-16 22:11:36
205,Semnan,35.5729,53.3971,79.14,28,0,7.72,IR,2021-06-16 22:15:30
206,Pisco,-13.7,-76.2167,68.05,77,0,17.27,PE,2021-06-16 22:15:30
207,Manta,-0.95,-80.7333,80.38,74,75,5.75,EC,2021-06-16 22:15:30
208,Ballina,-28.8667,153.5667,60.84,85,11,9.1,AU,2021-06-16 22:15:31
209,Santa Cruz de la Sierra,-17.8,-63.1667,68.05,60,75,9.22,BO,2021-06-16 22:15:31
210,Vao,-22.6667,167.4833,71.82,76,71,6.26,NC,2021-06-16 22:15:32
211,Fengzhen,40.4394,113.1536,54.81,63,85,4.27,CN,2021-06-16 22:15:32
212,Kyabram,-36.3167,145.05,46.87,90,100,5.53,AU,2021-06-16 22:15:32
213,Marondera,-18.1853,31.5519,48.56,74,1,5.7,ZW,2021-06-16 22:15:33
214,Albany,42.6001,-73.9662,67.28,42,3,4.0,US,2021-06-16 22:15:08
215,Moindou,-21.6924,165.67700000000002,69.75,74,30,3.67,NC,2021-06-16 22:15:33
216,Muroto-misakicho,33.2833,134.15,71.64,80,12,9.46,JP,2021-06-16 22:15:34
217,Calvillo,21.85,-102.7167,83.34,26,95,4.94,MX,2021-06-16 22:15:34
218,Nantucket,41.2835,-70.0995,68.61,69,1,8.05,US,2021-06-16 22:15:35
220,Charagua,-19.8,-63.2167,54.97,77,100,6.4,BO,2021-06-16 22:15:35
221,Kulhudhuffushi,6.6221,73.07,82.53,80,76,17.67,MV,2021-06-16 22:15:36
222,Airai,-8.9266,125.4092,54.28,71,49,2.82,TL,2021-06-16 22:15:36
223,Kota Bharu,6.1333,102.2386,80.55,89,20,0.0,MY,2021-06-16 22:15:37
224,DwÄrka,22.2394,68.9678,85.39,78,56,15.21,IN,2021-06-16 22:15:37
225,Ahipara,-35.1667,173.1667,60.37,74,2,9.33,NZ,2021-06-16 22:15:37
226,Nurota,40.5614,65.6886,62.69,17,0,4.47,UZ,2021-06-16 22:15:38
227,Breves,-1.6822,-50.4803,79.48,76,31,1.59,BR,2021-06-16 22:15:38
228,Aquiraz,-3.9014,-38.3911,80.69,77,30,7.74,BR,2021-06-16 22:15:39
229,Hambantota,6.1241,81.1185,79.02,83,99,16.62,LK,2021-06-16 22:15:39
230,Hermanus,-34.4187,19.2345,50.81,83,0,7.49,ZA,2021-06-16 22:15:39
231,Ransang,8.9603,117.5828,79.38,86,28,3.62,PH,2021-06-16 22:15:40
232,PouÃ©bo,-20.4,164.5667,75.81,76,69,7.58,NC,2021-06-16 22:15:40
233,Plettenberg Bay,-34.0527,23.3716,57.51,79,0,4.56,ZA,2021-06-16 22:15:41
234,CamanÃ¡,-16.6228,-72.7111,64.94,86,61,8.16,PE,2021-06-16 22:15:41
235,Fes,34.0372,-4.9998,68.25,63,40,6.91,MA,2021-06-16 22:15:41
236,Batemans Bay,-35.7167,150.1833,50.92,67,100,7.83,AU,2021-06-16 22:15:42
237,Caravelas,-17.7125,-39.2481,70.0,75,18,6.2,BR,2021-06-16 22:15:42
238,Samarai,-10.6167,150.6667,79.86,85,96,13.82,PG,2021-06-16 22:15:43
239,Katsuura,35.1333,140.3,70.41,83,100,8.16,JP,2021-06-16 22:15:43
240,Waingapu,-9.6567,120.2641,71.24,85,36,6.26,ID,2021-06-16 22:15:44
241,Saldanha,-33.0117,17.9442,53.65,90,7,7.85,ZA,2021-06-16 22:15:44
242,OmbouÃ©,-1.5746,9.2618,76.26,86,71,9.28,GA,2021-06-16 22:15:44
243,Muscat,23.6139,58.5922,91.42,53,0,8.81,OM,2021-06-16 22:15:45
244,Goundam,16.4145,-3.6708,97.36,18,6,7.74,ML,2021-06-16 22:15:45
